ds,y
2010-06-02 00:00:00,7106
2010-06-02 01:00:00,6959
2010-06-02 02:00:00,6860
2010-06-02 03:00:00,6816
2010-06-02 04:00:00,6840
2010-06-02 05:00:00,6894
2010-06-02 06:00:00,7214
2010-06-02 07:00:00,7702
2010-06-02 08:00:00,7990
2010-06-02 09:00:00,8169
2010-06-02 10:00:00,8270
2010-06-02 11:00:00,8343
2010-06-02 12:00:00,8335
2010-06-02 13:00:00,8343
2010-06-02 14:00:00,8357
2010-06-02 15:00:00,8347
2010-06-02 16:00:00,8374
2010-06-02 17:00:00,8353
2010-06-02 18:00:00,8151
2010-06-02 19:00:00,8031
2010-06-02 20:00:00,7983
2010-06-02 21:00:00,7925
2010-06-02 22:00:00,7793
2010-06-02 23:00:00,7487
2010-06-03 00:00:00,7175
2010-06-03 01:00:00,7050
2010-06-03 02:00:00,6964
2010-06-03 03:00:00,6936
2010-06-03 04:00:00,6945
2010-06-03 05:00:00,6939
2010-06-03 06:00:00,7191
2010-06-03 07:00:00,7750
2010-06-03 08:00:00,8064
2010-06-03 09:00:00,8256
2010-06-03 10:00:00,8344
2010-06-03 11:00:00,8415
2010-06-03 12:00:00,8432
2010-06-03 13:00:00,8424
2010-06-03 14:00:00,8342
2010-06-03 15:00:00,8372
2010-06-03 16:00:00,8387
2010-06-03 17:00:00,8334
2010-06-03 18:00:00,8077
2010-06-03 19:00:00,8002
2010-06-03 20:00:00,7957
2010-06-03 21:00:00,7897
2010-06-03 22:00:00,7830
2010-06-03 23:00:00,7484
2010-06-04 00:00:00,7197
2010-06-04 01:00:00,6979
2010-06-04 02:00:00,6933
2010-06-04 03:00:00,6903
2010-06-04 04:00:00,6927
2010-06-04 05:00:00,6951
2010-06-04 06:00:00,7267
2010-06-04 07:00:00,7766
2010-06-04 08:00:00,8099
2010-06-04 09:00:00,8279
2010-06-04 10:00:00,8381
2010-06-04 11:00:00,8320
2010-06-04 12:00:00,8326
2010-06-04 13:00:00,8431
2010-06-04 14:00:00,8408
2010-06-04 15:00:00,8405
2010-06-04 16:00:00,8354
2010-06-04 17:00:00,8269
2010-06-04 18:00:00,8068
2010-06-04 19:00:00,7873
2010-06-04 20:00:00,7769
2010-06-04 21:00:00,7690
2010-06-04 22:00:00,7692
2010-06-04 23:00:00,7484
2010-06-05 00:00:00,7193
2010-06-05 01:00:00,6960
2010-06-05 02:00:00,6851
2010-06-05 03:00:00,6823
2010-06-05 04:00:00,6793
2010-06-05 05:00:00,6749
2010-06-05 06:00:00,6788
2010-06-05 07:00:00,7060
2010-06-05 08:00:00,7418
2010-06-05 09:00:00,7735
2010-06-05 10:00:00,7889
2010-06-05 11:00:00,8029
2010-06-05 12:00:00,8062
2010-06-05 13:00:00,8064
2010-06-05 14:00:00,8003
2010-06-05 15:00:00,7931
2010-06-05 16:00:00,7923
2010-06-05 17:00:00,7966
2010-06-05 18:00:00,7849
2010-06-05 19:00:00,7756
2010-06-05 20:00:00,7708
2010-06-05 21:00:00,7664
2010-06-05 22:00:00,7693
2010-06-05 23:00:00,7505
2010-06-06 00:00:00,7198
2010-06-06 01:00:00,7021
2010-06-06 02:00:00,6937
2010-06-06 03:00:00,6860
2010-06-06 04:00:00,6854
2010-06-06 05:00:00,6728
2010-06-06 06:00:00,6774
2010-06-06 07:00:00,6955
2010-06-06 08:00:00,7219
2010-06-06 09:00:00,7499
2010-06-06 10:00:00,7703
2010-06-06 11:00:00,7831
2010-06-06 12:00:00,7895
2010-06-06 13:00:00,7906
2010-06-06 14:00:00,7889
2010-06-06 15:00:00,7943
2010-06-06 16:00:00,8025
2010-06-06 17:00:00,8070
2010-06-06 18:00:00,8017
2010-06-06 19:00:00,7945
2010-06-06 20:00:00,7920
2010-06-06 21:00:00,7912
2010-06-06 22:00:00,7878
2010-06-06 23:00:00,7560
2010-06-07 00:00:00,7270
2010-06-07 01:00:00,7095
2010-06-07 02:00:00,7008
2010-06-07 03:00:00,6991
2010-06-07 04:00:00,7011
2010-06-07 05:00:00,7065
2010-06-07 06:00:00,7380
2010-06-07 07:00:00,7914
2010-06-07 08:00:00,8231
2010-06-07 09:00:00,8419
2010-06-07 10:00:00,8582
2010-06-07 11:00:00,8652
2010-06-07 12:00:00,8644
2010-06-07 13:00:00,8611
2010-06-07 14:00:00,8590
2010-06-07 15:00:00,8540
2010-06-07 16:00:00,8599
2010-06-07 17:00:00,8550
2010-06-07 18:00:00,8340
2010-06-07 19:00:00,8223
2010-06-07 20:00:00,8131
2010-06-07 21:00:00,8063
2010-06-07 22:00:00,7939
2010-06-07 23:00:00,7578
2010-06-08 00:00:00,7280
2010-06-08 01:00:00,7118
2010-06-08 02:00:00,7056
2010-06-08 03:00:00,7043
2010-06-08 04:00:00,7034
2010-06-08 05:00:00,7109
2010-06-08 06:00:00,7411
2010-06-08 07:00:00,7901
2010-06-08 08:00:00,8148
2010-06-08 09:00:00,8286
2010-06-08 10:00:00,8385
2010-06-08 11:00:00,8438
2010-06-08 12:00:00,8374
2010-06-08 13:00:00,8414
2010-06-08 14:00:00,8449
2010-06-08 15:00:00,8486
2010-06-08 16:00:00,8511
2010-06-08 17:00:00,8426
2010-06-08 18:00:00,8197
2010-06-08 19:00:00,8048
2010-06-08 20:00:00,7997
2010-06-08 21:00:00,7965
2010-06-08 22:00:00,7877
2010-06-08 23:00:00,7545
2010-06-09 00:00:00,7258
2010-06-09 01:00:00,7096
2010-06-09 02:00:00,7010
2010-06-09 03:00:00,6969
2010-06-09 04:00:00,6993
2010-06-09 05:00:00,7061
2010-06-09 06:00:00,7346
2010-06-09 07:00:00,7878
2010-06-09 08:00:00,8121
2010-06-09 09:00:00,8240
2010-06-09 10:00:00,8348
2010-06-09 11:00:00,8392
2010-06-09 12:00:00,8395
2010-06-09 13:00:00,8418
2010-06-09 14:00:00,8388
2010-06-09 15:00:00,8401
2010-06-09 16:00:00,8436
2010-06-09 17:00:00,8400
2010-06-09 18:00:00,8192
2010-06-09 19:00:00,8121
2010-06-09 20:00:00,8066
2010-06-09 21:00:00,8023
2010-06-09 22:00:00,7871
2010-06-09 23:00:00,7517
2010-06-10 00:00:00,7252
2010-06-10 01:00:00,7098
2010-06-10 02:00:00,7043
2010-06-10 03:00:00,6996
2010-06-10 04:00:00,6990
2010-06-10 05:00:00,7077
2010-06-10 06:00:00,7423
2010-06-10 07:00:00,7898
2010-06-10 08:00:00,8189
2010-06-10 09:00:00,8343
2010-06-10 10:00:00,8379
2010-06-10 11:00:00,8457
2010-06-10 12:00:00,8441
2010-06-10 13:00:00,8472
2010-06-10 14:00:00,8419
2010-06-10 15:00:00,8441
2010-06-10 16:00:00,8490
2010-06-10 17:00:00,8412
2010-06-10 18:00:00,8222
2010-06-10 19:00:00,8126
2010-06-10 20:00:00,8051
2010-06-10 21:00:00,7996
2010-06-10 22:00:00,7909
2010-06-10 23:00:00,7610
2010-06-11 00:00:00,7316
2010-06-11 01:00:00,7168
2010-06-11 02:00:00,7108
2010-06-11 03:00:00,7113
2010-06-11 04:00:00,7121
2010-06-11 05:00:00,7123
2010-06-11 06:00:00,7352
2010-06-11 07:00:00,7802
2010-06-11 08:00:00,8082
2010-06-11 09:00:00,8279
2010-06-11 10:00:00,8390
2010-06-11 11:00:00,8474
2010-06-11 12:00:00,8489
2010-06-11 13:00:00,8491
2010-06-11 14:00:00,8446
2010-06-11 15:00:00,8441
2010-06-11 16:00:00,8360
2010-06-11 17:00:00,8269
2010-06-11 18:00:00,8101
2010-06-11 19:00:00,7996
2010-06-11 20:00:00,7898
2010-06-11 21:00:00,7835
2010-06-11 22:00:00,7852
2010-06-11 23:00:00,7641
2010-06-12 00:00:00,7351
2010-06-12 01:00:00,7170
2010-06-12 02:00:00,7050
2010-06-12 03:00:00,7004
2010-06-12 04:00:00,6967
2010-06-12 05:00:00,6851
2010-06-12 06:00:00,6925
2010-06-12 07:00:00,7169
2010-06-12 08:00:00,7477
2010-06-12 09:00:00,7716
2010-06-12 10:00:00,7911
2010-06-12 11:00:00,8008
2010-06-12 12:00:00,8073
2010-06-12 13:00:00,8043
2010-06-12 14:00:00,8030
2010-06-12 15:00:00,8061
2010-06-12 16:00:00,8035
2010-06-12 17:00:00,8022
2010-06-12 18:00:00,7929
2010-06-12 19:00:00,7842
2010-06-12 20:00:00,7763
2010-06-12 21:00:00,7668
2010-06-12 22:00:00,7710
2010-06-12 23:00:00,7574
2010-06-13 00:00:00,7310
2010-06-13 01:00:00,7127
2010-06-13 02:00:00,7002
2010-06-13 03:00:00,6926
2010-06-13 04:00:00,6873
2010-06-13 05:00:00,6808
2010-06-13 06:00:00,6847
2010-06-13 07:00:00,7044
2010-06-13 08:00:00,7300
2010-06-13 09:00:00,7617
2010-06-13 10:00:00,7859
2010-06-13 11:00:00,8028
2010-06-13 12:00:00,8147
2010-06-13 13:00:00,8182
2010-06-13 14:00:00,8184
2010-06-13 15:00:00,8230
2010-06-13 16:00:00,8310
2010-06-13 17:00:00,8347
2010-06-13 18:00:00,8292
2010-06-13 19:00:00,8264
2010-06-13 20:00:00,8218
2010-06-13 21:00:00,8104
2010-06-13 22:00:00,8051
2010-06-13 23:00:00,7722
2010-06-14 00:00:00,7390
2010-06-14 01:00:00,7148
2010-06-14 02:00:00,7036
2010-06-14 03:00:00,6976
2010-06-14 04:00:00,6966
2010-06-14 05:00:00,6963
2010-06-14 06:00:00,7287
2010-06-14 07:00:00,7856
2010-06-14 08:00:00,8180
2010-06-14 09:00:00,8369
2010-06-14 10:00:00,8523
2010-06-14 11:00:00,8602
2010-06-14 12:00:00,8637
2010-06-14 13:00:00,8670
2010-06-14 14:00:00,8648
2010-06-14 15:00:00,8665
2010-06-14 16:00:00,8729
2010-06-14 17:00:00,8623
2010-06-14 18:00:00,8380
2010-06-14 19:00:00,8283
2010-06-14 20:00:00,8224
2010-06-14 21:00:00,8134
2010-06-14 22:00:00,7964
2010-06-14 23:00:00,7658
2010-06-15 00:00:00,7380
2010-06-15 01:00:00,7211
2010-06-15 02:00:00,7117
2010-06-15 03:00:00,7150
2010-06-15 04:00:00,7087
2010-06-15 05:00:00,7098
2010-06-15 06:00:00,7369
2010-06-15 07:00:00,7845
